userId,productId,Label
f1911386-a74b-4056-bd84-d004c59f7f27,1,5
f1911386-a74b-4056-bd84-d004c59f7f27,2,4
f1911386-a74b-4056-bd84-d004c59f7f27,3,2
f1911386-a74b-4056-bd84-d004c59f7f27,4,3
f1911386-a74b-4056-bd84-d004c59f7f27,5,4
f1911386-a74b-4056-bd84-d004c59f7f27,6,3
569b26d0-9587-4414-8ee5-59ccb764957d,1,3
569b26d0-9587-4414-8ee5-59ccb764957d,2,5
569b26d0-9587-4414-8ee5-59ccb764957d,3,1
569b26d0-9587-4414-8ee5-59ccb764957d,6,4
569b26d0-9587-4414-8ee5-59ccb764957d,7,5
0a723736-7e09-4efc-bbaa-7cb9a7f98a68,1,2
0a723736-7e09-4efc-bbaa-7cb9a7f98a68,2,3
0a723736-7e09-4efc-bbaa-7cb9a7f98a68,4,4
0a723736-7e09-4efc-bbaa-7cb9a7f98a68,5,2
0a723736-7e09-4efc-bbaa-7cb9a7f98a68,6,3
0f4e5051-e795-4c60-9d73-eb28931a813c,3,5
0f4e5051-e795-4c60-9d73-eb28931a813c,4,2
0f4e5051-e795-4c60-9d73-eb28931a813c,5,1
0f4e5051-e795-4c60-9d73-eb28931a813c,6,4
0f4e5051-e795-4c60-9d73-eb28931a813c,7,3
362682a9-05f4-4756-a1b8-636fac164367,1,5
362682a9-05f4-4756-a1b8-636fac164367,2,4
362682a9-05f4-4756-a1b8-636fac164367,3,3
362682a9-05f4-4756-a1b8-636fac164367,4,4
362682a9-05f4-4756-a1b8-636fac164367,5,5
21105864-ccb2-4a3d-83a7-1323d262c0bb,2,4
21105864-ccb2-4a3d-83a7-1323d262c0bb,3,2
21105864-ccb2-4a3d-83a7-1323d262c0bb,5,1
21105864-ccb2-4a3d-83a7-1323d262c0bb,7,3
b61dd243-d5aa-4745-900f-48722b1aeeaf,1,4
b61dd243-d5aa-4745-900f-48722b1aeeaf,2,4
b61dd243-d5aa-4745-900f-48722b1aeeaf,3,4
b61dd243-d5aa-4745-900f-48722b1aeeaf,4,4
b61dd243-d5aa-4745-900f-48722b1aeeaf,5,5
4a1aef96-c2fa-45f4-8eb1-d2075aa8b438,3,2
4a1aef96-c2fa-45f4-8eb1-d2075aa8b438,4,5
4a1aef96-c2fa-45f4-8eb1-d2075aa8b438,6,3
ec4b0204-1c80-4b2f-a40e-977029525b1e,1,3
ec4b0204-1c80-4b2f-a40e-977029525b1e,5,4
ec4b0204-1c80-4b2f-a40e-977029525b1e,6,2
f5ac3822-267f-439a-b639-e6743a338bf2,1,1
f5ac3822-267f-439a-b639-e6743a338bf2,2,2
f5ac3822-267f-439a-b639-e6743a338bf2,3,3
f5ac3822-267f-439a-b639-e6743a338bf2,4,4
f5ac3822-267f-439a-b639-e6743a338bf2,5,5
